Date : 2023-04-24 20:06:42
Directory : d:\habitau
Total : 157 files,  25944 codes, 184 comments, 724 blanks, all 26852 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| d:\habitau\src\app\pages\private\administrador\administrador.component.spec.ts               | TypeScript         |         18 |          0 |          6 |         24 |
| d:\habitau\src\app\pages\private\administrador\administrador.component.ts                    | TypeScript         |         11 |          0 |          5 |         16 |
| d:\habitau\src\app\pages\private\adminprofile\adminprofile.component.html                    | HTML               |         59 |          0 |          0 |         59 |
| d:\habitau\src\app\pages\private\adminprofile\adminprofile.component.scss                    | SCSS               |          0 |          0 |          1 |          1 |
| d:\habitau\src\app\pages\private\adminprofile\adminprofile.component.spec.ts                 | TypeScript         |         18 |          0 |          6 |         24 |
| d:\habitau\src\app\pages\private\adminprofile\adminprofile.component.ts                      | TypeScript         |         32 |          0 |          4 |         36 |
| d:\habitau\src\app\pages\private\admintipopropiedades\admintipopropiedades.component.html    | HTML               |          1 |          0 |          0 |          1 |
| d:\habitau\src\app\pages\private\admintipopropiedades\admintipopropiedades.component.scss    | SCSS               |          0 |          0 |          1 |          1 |
| d:\habitau\src\app\pages\private\admintipopropiedades\admintipopropiedades.component.spec.ts | TypeScript         |         18 |          0 |          6 |         24 |
| d:\habitau\src\app\pages\private\admintipopropiedades\admintipopropiedades.component.ts      | TypeScript         |         11 |          0 |          5 |         16 |
| d:\habitau\src\app\pages\private\adminuniversities\adminuniversities.component.html          | HTML               |          1 |          0 |          1 |          2 |
| d:\habitau\src\app\pages\private\adminuniversities\adminuniversities.component.scss          | SCSS               |          0 |          0 |          1 |          1 |
| d:\habitau\src\app\pages\private\adminuniversities\adminuniversities.component.spec.ts       | TypeScript         |         18 |          0 |          6 |         24 |
| d:\habitau\src\app\pages\private\adminuniversities\adminuniversities.component.ts            | TypeScript         |         11 |          0 |          5 |         16 |
| d:\habitau\src\app\pages\private\dashadministrador\dashadministrador.component.html          | HTML               |        121 |          0 |          4 |        125 |
| d:\habitau\src\app\pages\private\dashadministrador\dashadministrador.component.scss          | SCSS               |          0 |          0 |          1 |          1 |
| d:\habitau\src\app\pages\private\dashadministrador\dashadministrador.component.spec.ts       | TypeScript         |         18 |          0 |          6 |         24 |
| d:\habitau\src\app\pages\private\dashadministrador\dashadministrador.component.ts            | TypeScript         |         35 |          0 |          5 |         40 |
| d:\habitau\src\app\pages\private\dasharrendatario\dasharrendatario.component.html            | HTML               |        102 |          0 |          4 |        106 |
| d:\habitau\src\app\pages\private\dasharrendatario\dasharrendatario.component.scss            | SCSS               |          0 |          0 |          1 |          1 |
| d:\habitau\src\app\pages\private\dasharrendatario\dasharrendatario.component.spec.ts         | TypeScript         |         18 |          0 |          6 |         24 |
| d:\habitau\src\app\pages\private\dasharrendatario\dasharrendatario.component.ts              | TypeScript         |         33 |          0 |          4 |         37 |
| d:\habitau\src\app\pages\private\formpropiedad\formpropiedad.component.html                  | HTML               |        143 |          0 |         19 |        162 |
| d:\habitau\src\app\pages\private\formpropiedad\formpropiedad.component.scss                  | SCSS               |          8 |          0 |          2 |         10 |
| d:\habitau\src\app\pages\private\formpropiedad\formpropiedad.component.spec.ts               | TypeScript         |         18 |          0 |          6 |         24 |
| d:\habitau\src\app\pages\private\formpropiedad\formpropiedad.component.ts                    | TypeScript         |         20 |          0 |          5 |         25 |
| d:\habitau\src\app\pages\private\formusuario\formusuario.component.html                      | HTML               |         60 |          1 |          5 |         66 |
| d:\habitau\src\app\pages\private\formusuario\formusuario.component.scss                      | SCSS               |          8 |          0 |          1 |          9 |
| d:\habitau\src\app\pages\private\formusuario\formusuario.component.spec.ts                   | TypeScript         |         18 |          0 |          6 |         24 |
| d:\habitau\src\app\pages\private\formusuario\formusuario.component.ts                        | TypeScript         |         14 |          0 |          4 |         18 |
| d:\habitau\src\app\pages\private\home\home.component.html                                    | HTML               |         45 |          0 |          0 |         45 |
| d:\habitau\src\app\pages\private\home\home.component.scss                                    | SCSS               |          0 |          0 |          1 |          1 |
| d:\habitau\src\app\pages\private\home\home.component.spec.ts                                 | TypeScript         |         18 |          0 |          6 |         24 |
| d:\habitau\src\app\pages\private\home\home.component.ts                                      | TypeScript         |         11 |          0 |          5 |         16 |
| d:\habitau\src\app\pages\private\profile\profile.component.html                              | HTML               |         83 |          0 |          3 |         86 |
| d:\habitau\src\app\pages\private\profile\profile.component.scss                              | SCSS               |          0 |          0 |          1 |          1 |
| d:\habitau\src\app\pages\private\profile\profile.component.spec.ts                           | TypeScript         |         18 |          0 |          6 |         24 |
| d:\habitau\src\app\pages\private\profile\profile.component.ts                                | TypeScript         |         48 |          0 |          6 |         54 |
| d:\habitau\src\app\pages\private\propiedades\propiedades.component.html                      | HTML               |         75 |          0 |          2 |         77 |
| d:\habitau\src\app\pages\private\propiedades\propiedades.component.scss                      | SCSS               |          0 |          0 |          1 |          1 |
| d:\habitau\src\app\pages\private\propiedades\propiedades.component.spec.ts                   | TypeScript         |         18 |          0 |          6 |         24 |
| d:\habitau\src\app\pages\private\propiedades\propiedades.component.ts                        | TypeScript         |         11 |          0 |          5 |         16 |
| d:\habitau\src\app\pages\public\aboutnav\aboutnav.component.html                             | HTML               |        138 |          0 |         20 |        158 |
| d:\habitau\src\app\pages\public\aboutnav\aboutnav.component.scss                             | SCSS               |          0 |          0 |          1 |          1 |
| d:\habitau\src\app\pages\public\aboutnav\aboutnav.component.spec.ts                          | TypeScript         |         18 |          0 |          6 |         24 |
| d:\habitau\src\app\pages\public\aboutnav\aboutnav.component.ts                               | TypeScript         |         11 |          0 |          5 |         16 |
| d:\habitau\src\app\pages\public\contactnav\contactnav.component.html                         | HTML               |        226 |          0 |         17 |        243 |
| d:\habitau\src\app\pages\public\contactnav\contactnav.component.scss                         | SCSS               |          8 |          0 |          2 |         10 |
| d:\habitau\src\app\pages\public\contactnav\contactnav.component.spec.ts                      | TypeScript         |         18 |          0 |          6 |         24 |
| d:\habitau\src\app\pages\public\contactnav\contactnav.component.ts                           | TypeScript         |         70 |          0 |          6 |         76 |
| d:\habitau\src\app\pages\public\explorenav\explorenav.component.html                         | HTML               |        272 |         59 |         29 |        360 |
| d:\habitau\src\app\pages\public\explorenav\explorenav.component.scss                         | SCSS               |          0 |          0 |          1 |          1 |
| d:\habitau\src\app\pages\public\explorenav\explorenav.component.spec.ts                      | TypeScript         |         18 |          0 |          6 |         24 |
| d:\habitau\src\app\pages\public\explorenav\explorenav.component.ts                           | TypeScript         |         33 |          0 |          4 |         37 |
| d:\habitau\src\app\pages\public\pagenotfound\pagenotfound.component.html                     | HTML               |         11 |          0 |          0 |         11 |
| d:\habitau\src\app\pages\public\pagenotfound\pagenotfound.component.scss                     | SCSS               |          0 |          0 |          1 |          1 |
| d:\habitau\src\app\pages\public\pagenotfound\pagenotfound.component.spec.ts                  | TypeScript         |         18 |          0 |          6 |         24 |
| d:\habitau\src\app\pages\public\pagenotfound\pagenotfound.component.ts                       | TypeScript         |         11 |          0 |          5 |         16 |
| d:\habitau\src\app\pages\public\register\register.component.html                             | HTML               |        343 |          1 |         34 |        378 |
| d:\habitau\src\app\pages\public\register\register.component.scss                             | SCSS               |          8 |          0 |          2 |         10 |
| d:\habitau\src\app\pages\public\register\register.component.spec.ts                          | TypeScript         |         18 |          0 |          6 |         24 |
| d:\habitau\src\app\pages\public\register\register.component.ts                               | TypeScript         |        102 |         23 |          9 |        134 |
| d:\habitau\src\app\pages\public\rentnav\rentnav.component.html                               | HTML               |        213 |          6 |         17 |        236 |
| d:\habitau\src\app\pages\public\rentnav\rentnav.component.scss                               | SCSS               |          0 |          0 |          1 |          1 |
| d:\habitau\src\app\pages\public\rentnav\rentnav.component.spec.ts                            | TypeScript         |         18 |          0 |          6 |         24 |
| d:\habitau\src\app\pages\public\rentnav\rentnav.component.ts                                 | TypeScript         |         11 |          0 |          5 |         16 |
| d:\habitau\src\app\pages\public\spacesnav\spacesnav.component.html                           | HTML               |         30 |          0 |          0 |         30 |
| d:\habitau\src\app\pages\public\spacesnav\spacesnav.component.scss                           | SCSS               |          0 |          0 |          1 |          1 |
| d:\habitau\src\app\pages\public\spacesnav\spacesnav.component.spec.ts                        | TypeScript         |         18 |          0 |          6 |         24 |
| d:\habitau\src\app\pages\public\spacesnav\spacesnav.component.ts                             | TypeScript         |         11 |          0 |          5 |         16 |
| d:\habitau\src\app\services\administrador.guard.spec.ts                                      | TypeScript         |         12 |          0 |          5 |         17 |
| d:\habitau\src\app\services\administrador.guard.ts                                           | TypeScript         |         19 |          0 |          5 |         24 |
| d:\habitau\src\app\services\arrendatario.guard.spec.ts                                       | TypeScript         |         12 |          0 |          5 |         17 |
| d:\habitau\src\app\services\arrendatario.guard.ts                                            | TypeScript         |         19 |          0 |          5 |         24 |
| d:\habitau\src\app\services\auth.interceptor.ts                                              | TypeScript         |         36 |          0 |          5 |         41 |
| d:\habitau\src\app\services\helper.ts                                                        | TypeScript         |          2 |          0 |          1 |          3 |
| d:\habitau\src\app\services\login.service.spec.ts                                            | TypeScript         |         12 |          0 |          5 |         17 |
| d:\habitau\src\app\services\login.service.ts                                                 | TypeScript         |         52 |          4 |         15 |         71 |
| d:\habitau\src\app\services\modal.service.spec.ts                                            | TypeScript         |         12 |          0 |          5 |         17 |
| d:\habitau\src\app\services\modal.service.ts                                                 | TypeScript         |          8 |          0 |          4 |         12 |
| d:\habitau\src\app\services\propiedades.service.spec.ts                                      | TypeScript         |         12 |          0 |          5 |         17 |
| d:\habitau\src\app\services\propiedades.service.ts                                           | TypeScript         |         15 |          0 |          3 |         18 |
| d:\habitau\src\app\services\tipopropiedad.service.spec.ts                                    | TypeScript         |         12 |          0 |          5 |         17 |
| d:\habitau\src\app\services\tipopropiedad.service.ts                                         | TypeScript         |         15 |          0 |          4 |         19 |
| d:\habitau\src\app\services\universidades.service.spec.ts                                    | TypeScript         |         12 |          0 |          5 |         17 |
| d:\habitau\src\app\services\universidades.service.ts                                         | TypeScript         |          7 |          0 |          3 |         10 |
| d:\habitau\src\app\services\usuario.service.spec.ts                                          | TypeScript         |         12 |          0 |          5 |         17 |
| d:\habitau\src\app\services\usuario.service.ts                                               | TypeScript         |         18 |          0 |          6 |         24 |
| d:\habitau\src\app\shared\components\footer\footer.component.html                            | HTML               |         98 |          0 |         15 |        113 |
| d:\habitau\src\app\shared\components\footer\footer.component.scss                            | SCSS               |          0 |          0 |          1 |          1 |
| d:\habitau\src\app\shared\components\footer\footer.component.spec.ts                         | TypeScript         |         18 |          0 |          6 |         24 |
| d:\habitau\src\app\shared\components\footer\footer.component.ts                              | TypeScript         |         11 |          0 |          5 |         16 |
| d:\habitau\src\app\shared\components\header\header.component.html                            | HTML               |        108 |          4 |         12 |        124 |
| d:\habitau\src\app\shared\components\header\header.component.scss                            | SCSS               |          0 |          0 |          1 |          1 |
| d:\habitau\src\app\shared\components\header\header.component.spec.ts                         | TypeScript         |         18 |          0 |          6 |         24 |
| d:\habitau\src\app\shared\components\header\header.component.ts                              | TypeScript         |         81 |          2 |         12 |         95 |
| d:\habitau\src\app\shared\components\hero\hero.component.html                                | HTML               |         63 |          4 |          7 |         74 |
| d:\habitau\src\app\shared\components\hero\hero.component.scss                                | SCSS               |          0 |          0 |          1 |          1 |
| d:\habitau\src\app\shared\components\hero\hero.component.spec.ts                             | TypeScript         |         18 |          0 |          6 |         24 |
| d:\habitau\src\app\shared\components\hero\hero.component.ts                                  | TypeScript         |         11 |          0 |          5 |         16 |
| d:\habitau\src\app\shared\components\modalogin\modalogin.component.html                      | HTML               |        132 |          1 |          6 |        139 |
| d:\habitau\src\app\shared\components\modalogin\modalogin.component.scss                      | SCSS               |          0 |          0 |          1 |          1 |
| d:\habitau\src\app\shared\components\modalogin\modalogin.component.spec.ts                   | TypeScript         |         18 |          0 |          6 |         24 |
| d:\habitau\src\app\shared\components\modalogin\modalogin.component.ts                        | TypeScript         |         87 |          7 |         11 |        105 |
| d:\habitau\src\app\shared\components\sectionfive\sectionfive.component.html                  | HTML               |        153 |          0 |          1 |        154 |
| d:\habitau\src\app\shared\components\sectionfive\sectionfive.component.scss                  | SCSS               |          0 |          0 |          1 |          1 |
| d:\habitau\src\app\shared\components\sectionfive\sectionfive.component.spec.ts               | TypeScript         |         18 |          0 |          6 |         24 |
| d:\habitau\src\app\shared\components\sectionfive\sectionfive.component.ts                    | TypeScript         |         11 |          0 |          5 |         16 |
| d:\habitau\src\app\shared\components\sectionfour\sectionfour.component.html                  | HTML               |         82 |          0 |          0 |         82 |
| d:\habitau\src\app\shared\components\sectionfour\sectionfour.component.scss                  | SCSS               |          0 |          0 |          1 |          1 |
| d:\habitau\src\app\shared\components\sectionfour\sectionfour.component.spec.ts               | TypeScript         |         18 |          0 |          6 |         24 |
| d:\habitau\src\app\shared\components\sectionfour\sectionfour.component.ts                    | TypeScript         |          9 |          0 |          2 |         11 |
| d:\habitau\src\app\shared\components\sectionone\sectionone.component.html                    | HTML               |         36 |          0 |          3 |         39 |
| d:\habitau\src\app\shared\components\sectionone\sectionone.component.scss                    | SCSS               |         22 |          0 |          4 |         26 |
| d:\habitau\src\app\shared\components\sectionone\sectionone.component.spec.ts                 | TypeScript         |         18 |          0 |          6 |         24 |
| d:\habitau\src\app\shared\components\sectionone\sectionone.component.ts                      | TypeScript         |         10 |          0 |          3 |         13 |
| d:\habitau\src\app\shared\components\sectionsix\sectionsix.component.html                    | HTML               |         24 |          0 |          3 |         27 |
| d:\habitau\src\app\shared\components\sectionsix\sectionsix.component.scss                    | SCSS               |          0 |          0 |          1 |          1 |
| d:\habitau\src\app\shared\components\sectionsix\sectionsix.component.spec.ts                 | TypeScript         |         18 |          0 |          6 |         24 |
| d:\habitau\src\app\shared\components\sectionsix\sectionsix.component.ts                      | TypeScript         |         11 |          0 |          5 |         16 |
| d:\habitau\src\app\shared\components\sectionthree\sectionthree.component.html                | HTML               |         32 |          0 |          0 |         32 |
| d:\habitau\src\app\shared\components\sectionthree\sectionthree.component.scss                | SCSS               |          0 |          0 |          1 |          1 |
| d:\habitau\src\app\shared\components\sectionthree\sectionthree.component.spec.ts             | TypeScript         |         18 |          0 |          6 |         24 |
| d:\habitau\src\app\shared\components\sectionthree\sectionthree.component.ts                  | TypeScript         |         11 |          0 |          5 |         16 |
| d:\habitau\src\app\shared\components\sectiontwo\sectiontwo.component.html                    | HTML               |         37 |          0 |          8 |         45 |
| d:\habitau\src\app\shared\components\sectiontwo\sectiontwo.component.scss                    | SCSS               |          0 |          0 |          1 |          1 |
| d:\habitau\src\app\shared\components\sectiontwo\sectiontwo.component.spec.ts                 | TypeScript         |         18 |          0 |          6 |         24 |
| d:\habitau\src\app\shared\components\sectiontwo\sectiontwo.component.ts                      | TypeScript         |         11 |          0 |          5 |         16 |
| d:\habitau\src\environments\environment.prod.ts                                              | TypeScript         |          3 |          0 |          1 |          4 |
| d:\habitau\src\environments\environment.ts                                                   | TypeScript         |          3 |         11 |          3 |         17 |
| d:\habitau\src\index.html                                                                    | HTML               |         17 |          0 |          1 |         18 |
| d:\habitau\src\main.ts                                                                       | TypeScript         |          9 |          0 |          4 |         13 |
| d:\habitau\src\polyfills.ts                                                                  | TypeScript         |          1 |         47 |          6 |         54 |
| d:\habitau\src\styles.scss                                                                   | SCSS               |          3 |          0 |          0 |          3 |
| d:\habitau\src\test.ts                                                                       | TypeScript         |         18 |          4 |          5 |         27 |
| d:\habitau\tailwind.config.js                                                                | JavaScript         |         12 |          1 |          1 |         14 |
| d:\habitau\tsconfig.app.json                                                                 | JSON               |         14 |          1 |          1 |         16 |
| d:\habitau\tsconfig.json                                                                     | JSON with Comments |         31 |          1 |          1 |         33 |
| d:\habitau\tsconfig.spec.json                                                                | JSON               |         17 |          1 |          1 |         19 |
| Total                                                                                        |                    |     25,944 |        184 |        724 |     26,852 |
+----------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
